date,KayakWebScraper,KayakAppScraper
2021-05-25 08:00,,
2021-05-25 00:00,,
2021-05-26 00:00,,
2021-05-26 08:00,,
2021-05-26 16:00,126.0,
2021-05-27 00:00,127.0,
2021-05-27 08:00,,
2021-05-27 16:00,129.0,
2021-05-28 00:00,129.0,
2021-05-28 08:00,126.0,
2021-05-28 16:00,126.0,
2021-05-29 00:00,,
2021-05-29 08:00,128.0,
2021-05-29 16:00,,
2021-05-30 00:00,128.0,
2021-05-30 08:00,122.0,
2021-05-30 16:00,128.0,
2021-05-31 00:00,122.0,
2021-05-31 08:00,125.0,
2021-05-31 16:00,132.0,
2021-06-01 00:00,125.0,
2021-06-01 08:00,139.0,
2021-06-01 16:00,148.0,
2021-06-02 00:00,,
2021-06-02 08:00,127.0,
2021-06-02 16:00,,
2021-06-03 00:00,124.0,
2021-06-03 08:00,127.0,
2021-06-03 16:00,127.0,
2021-06-04 00:00,129.0,
2021-06-04 08:00,123.0,
2021-06-04 16:00,127.0,
2021-06-04 23:45,134.0,
2021-06-05 07:45,,
2021-06-05 15:45,135.0,
2021-06-05 23:45,,
2021-06-06 07:45,,
2021-06-06 15:45,,
2021-06-06 23:45,,
2021-06-07 07:45,,
2021-06-07 15:45,,
2021-06-07 23:45,,
2021-06-08 07:45,,
2021-06-08 15:45,135.0,
2021-06-08 23:45,123.0,
2021-06-09 07:45,,
2021-06-09 15:45,,
2021-06-09 23:45,110.0,
2021-06-10 07:45,110.0,
2021-06-10 15:45,109.0,
2021-06-10 23:45,113.0,
2021-06-11 07:45,107.0,
2021-06-11 15:45,108.0,
2021-06-11 23:45,115.0,
2021-06-12 07:45,108.0,
2021-06-12 15:45,108.0,
2021-06-12 23:45,108.0,
2021-06-13 07:45,111.0,
2021-06-13 15:45,115.0,
2021-06-13 23:45,109.0,
2021-06-14 07:45,108.0,
2021-06-14 15:45,115.0,
2021-06-14 23:45,115.0,
2021-06-15 07:45,115.0,
2021-06-15 15:45,114.0,
2021-06-15 23:45,112.0,
2021-06-16 07:45,101.0,
2021-06-16 15:45,103.0,
2021-06-16 23:45,101.0,
2021-06-17 07:45,111.0,
2021-06-17 15:45,113.0,
2021-06-17 23:45,113.0,
2021-06-18 07:45,116.0,
2021-06-18 15:45,111.0,
2021-06-18 23:45,113.0,
2021-06-19 07:45,112.0,
2021-06-19 15:45,112.0,
2021-06-19 23:45,112.0,
2021-06-20 07:45,112.0,
2021-06-20 15:45,117.0,
2021-06-20 23:45,114.0,
2021-06-21 07:45,113.0,
2021-06-21 15:45,112.0,
2021-06-21 23:45,114.0,
2021-06-22 07:45,114.0,
2021-06-22 15:45,111.0,
2021-06-22 23:45,112.0,
2021-06-23 07:45,110.0,
2021-06-23 15:45,114.0,
2021-06-23 23:45,113.0,
2021-06-24 07:45,110.0,
2021-06-24 15:45,116.0,
2021-06-24 23:45,115.0,
2021-06-25 07:45,112.0,
2021-06-25 15:45,116.0,
2021-06-25 23:45,115.0,
2021-06-26 07:45,131.0,
2021-06-26 15:45,131.0,
2021-06-26 23:45,127.0,
2021-06-27 07:45,127.0,
2021-06-27 15:45,131.0,
2021-06-27 23:45,119.0,
2021-06-28 07:45,103.0,
2021-06-28 15:45,103.0,
2021-06-28 23:45,111.0,
2021-06-29 07:45,110.0,
2021-06-29 15:45,104.0,
2021-06-29 23:45,103.0,
2021-06-30 07:45,119.0,
2021-06-30 15:45,119.0,
2021-06-30 23:45,121.0,
2021-07-01 07:45,120.0,
2021-07-01 15:45,120.0,
2021-07-01 23:45,122.0,
2021-07-02 07:45,119.0,
2021-07-02 14:00,120.0,
2021-07-02 22:00,119.0,
2021-07-03 06:00,119.0,
2021-07-03 14:00,119.0,
2021-07-03 22:00,119.0,
2021-07-04 06:00,119.0,
2021-07-04 14:00,119.0,
2021-07-04 22:00,119.0,
2021-07-05 06:00,119.0,
